TR.ID,Block,Res.id,Count,Sp,ML,Dil,T0,Sp.rep,Treat
133,A,C.a,44,PC,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,57,PC,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,96,PC,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,47,PC,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,94,PC,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,190,PC,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,148,PC,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,110,PC,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,208,PC,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,56,PC,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,54,PC,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,48,PC,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,22,PC,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,72,PC,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,96,PC,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,43,PC,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,44,PC,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,23,PC,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,44,PC,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,62,PC,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,96,PC,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,122,PC,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,310,PC,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,168,PC,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,58,PC,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,180,PC,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,84,PC,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,58,PC,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,88,PC,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,48,PC,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,28,PC,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,54,PC,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,PC,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,46,PC,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,42,PC,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,28,PC,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,PC,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,36,PC,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,46,PC,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,34,PC,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,42,PC,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,32,PC,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,62,PC,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,58,PC,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,22,PC,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,36,PC,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,56,PC,28.57142857,10000,166666.6667,VG,LA
180,E,C.j,50,PC,28.57142857,10000,166666.6667,AA,LA
181,E,C.j,162,PC,28.57142857,10000,166666.6667,SR,LA
182,E,C.j,78,PC,28.57142857,10000,166666.6667,PC,LA
183,F,C.k,202,PC,28.57142857,10000,166666.6667,OD,LA
184,F,C.k,72,PC,28.57142857,10000,166666.6667,VG,LA
185,F,C.k,36,PC,28.57142857,10000,166666.6667,AA,LA
186,F,C.k,108,PC,28.57142857,10000,166666.6667,SR,LA
187,F,C.k,42,PC,28.57142857,10000,166666.6667,PC,LA
188,F,C.l,56,PC,28.57142857,10000,166666.6667,OD,LA
189,F,C.l,70,PC,28.57142857,10000,166666.6667,VG,LA
190,F,C.l,82,PC,28.57142857,10000,166666.6667,AA,LA
191,F,C.l,46,PC,28.57142857,10000,166666.6667,SR,LA
192,F,C.l,12,PC,28.57142857,10000,166666.6667,PC,LA
193,A,C.a,106,PC,28.57142857,10000,166666.6667,OD,AN
194,A,C.a,37,PC,28.57142857,10000,166666.6667,VG,AN
195,A,C.a,36,PC,28.57142857,10000,166666.6667,AA,AN
196,A,C.a,136,PC,28.57142857,10000,166666.6667,SR,AN
197,A,C.a,48,PC,28.57142857,10000,166666.6667,PC,AN
198,A,C.b,50,PC,28.57142857,10000,166666.6667,OD,AN
199,A,C.b,64,PC,28.57142857,10000,166666.6667,VG,AN
200,A,C.b,40,PC,28.57142857,10000,166666.6667,AA,AN
201,A,C.b,76,PC,28.57142857,10000,166666.6667,SR,AN
202,A,C.b,42,PC,28.57142857,10000,166666.6667,PC,AN
203,B,C.c,40,PC,28.57142857,10000,166666.6667,OD,AN
204,B,C.c,56,PC,28.57142857,10000,166666.6667,VG,AN
205,B,C.c,14,PC,28.57142857,10000,166666.6667,AA,AN
206,B,C.c,18,PC,28.57142857,10000,166666.6667,SR,AN
207,B,C.c,9,PC,28.57142857,10000,166666.6667,PC,AN
208,B,C.d,5,PC,28.57142857,10000,166666.6667,OD,AN
209,B,C.d,100,PC,28.57142857,10000,166666.6667,VG,AN
210,B,C.d,32,PC,28.57142857,10000,166666.6667,AA,AN
211,B,C.d,54,PC,28.57142857,10000,166666.6667,SR,AN
212,B,C.d,74,PC,28.57142857,10000,166666.6667,PC,AN
213,C,C.e,13,PC,28.57142857,10000,166666.6667,OD,AN
214,C,C.e,36,PC,28.57142857,10000,166666.6667,VG,AN
215,C,C.e,16,PC,28.57142857,10000,166666.6667,AA,AN
216,C,C.e,46,PC,28.57142857,10000,166666.6667,SR,AN
217,C,C.e,18,PC,28.57142857,10000,166666.6667,PC,AN
218,C,C.f,24,PC,28.57142857,10000,166666.6667,OD,AN
219,C,C.f,20,PC,28.57142857,10000,166666.6667,VG,AN
220,C,C.f,16,PC,28.57142857,10000,166666.6667,AA,AN
221,C,C.f,80,PC,28.57142857,10000,166666.6667,SR,AN
222,C,C.f,14,PC,28.57142857,10000,166666.6667,PC,AN
223,D,C.g,26,PC,28.57142857,10000,166666.6667,OD,AN
224,D,C.g,82,PC,28.57142857,10000,166666.6667,VG,AN
225,D,C.g,38,PC,28.57142857,10000,166666.6667,AA,AN
226,D,C.g,148,PC,28.57142857,10000,166666.6667,SR,AN
227,D,C.g,90,PC,28.57142857,10000,166666.6667,PC,AN
228,D,C.h,126,PC,28.57142857,10000,166666.6667,OD,AN
229,D,C.h,378,PC,28.57142857,10000,166666.6667,VG,AN
230,D,C.h,282,PC,28.57142857,10000,166666.6667,AA,AN
231,D,C.h,280,PC,28.57142857,10000,166666.6667,SR,AN
232,D,C.h,58,PC,28.57142857,10000,166666.6667,PC,AN
233,E,C.i,76,PC,28.57142857,10000,166666.6667,OD,AN
234,E,C.i,56,PC,28.57142857,10000,166666.6667,VG,AN
235,E,C.i,76,PC,28.57142857,10000,166666.6667,AA,AN
236,E,C.i,54,PC,28.57142857,10000,166666.6667,SR,AN
237,E,C.i,72,PC,28.57142857,10000,166666.6667,PC,AN
238,E,C.j,58,PC,28.57142857,10000,166666.6667,OD,AN
239,E,C.j,50,PC,28.57142857,10000,166666.6667,VG,AN
240,E,C.j,68,PC,28.57142857,10000,166666.6667,AA,AN
241,E,C.j,46,PC,28.57142857,10000,166666.6667,SR,AN
242,E,C.j,27,PC,28.57142857,10000,166666.6667,PC,AN
243,F,C.k,50,PC,28.57142857,10000,166666.6667,OD,AN
244,F,C.k,18,PC,28.57142857,10000,166666.6667,VG,AN
245,F,C.k,48,PC,28.57142857,10000,166666.6667,AA,AN
246,F,C.k,38,PC,28.57142857,10000,166666.6667,SR,AN
247,F,C.k,54,PC,28.57142857,10000,166666.6667,PC,AN
248,F,C.l,52,PC,28.57142857,10000,166666.6667,OD,AN
249,F,C.l,38,PC,28.57142857,10000,166666.6667,VG,AN
250,F,C.l,24,PC,28.57142857,10000,166666.6667,AA,AN
251,F,C.l,22,PC,28.57142857,10000,166666.6667,SR,AN
252,F,C.l,34,PC,28.57142857,10000,166666.6667,PC,AN
133,A,C.a,574,SR,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,554,SR,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,634,SR,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,378,SR,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,424,SR,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,574,SR,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,798,SR,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,438,SR,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,288,SR,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,370,SR,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,340,SR,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,468,SR,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,430,SR,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,438,SR,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,846,SR,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,598,SR,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,308,SR,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,410,SR,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,204,SR,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,404,SR,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,232,SR,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,120,SR,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,456,SR,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,64,SR,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,434,SR,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,666,SR,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,464,SR,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,114,SR,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,436,SR,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,60,SR,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,340,SR,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,332,SR,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,SR,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,250,SR,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,390,SR,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,140,SR,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,SR,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,308,SR,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,298,SR,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,218,SR,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,242,SR,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,544,SR,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,242,SR,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,594,SR,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,618,SR,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,352,SR,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,506,SR,28.57142857,10000,166666.6667,VG,LA
180,E,C.j,300,SR,28.57142857,10000,166666.6667,AA,LA
181,E,C.j,230,SR,28.57142857,10000,166666.6667,SR,LA
182,E,C.j,382,SR,28.57142857,10000,166666.6667,PC,LA
183,F,C.k,528,SR,28.57142857,10000,166666.6667,OD,LA
184,F,C.k,626,SR,28.57142857,10000,166666.6667,VG,LA
185,F,C.k,482,SR,28.57142857,10000,166666.6667,AA,LA
186,F,C.k,546,SR,28.57142857,10000,166666.6667,SR,LA
187,F,C.k,630,SR,28.57142857,10000,166666.6667,PC,LA
188,F,C.l,350,SR,28.57142857,10000,166666.6667,OD,LA
189,F,C.l,430,SR,28.57142857,10000,166666.6667,VG,LA
190,F,C.l,646,SR,28.57142857,10000,166666.6667,AA,LA
191,F,C.l,494,SR,28.57142857,10000,166666.6667,SR,LA
192,F,C.l,308,SR,28.57142857,10000,166666.6667,PC,LA
193,A,C.a,562,SR,28.57142857,10000,166666.6667,OD,AN
194,A,C.a,272,SR,28.57142857,10000,166666.6667,VG,AN
195,A,C.a,466,SR,28.57142857,10000,166666.6667,AA,AN
196,A,C.a,128,SR,28.57142857,10000,166666.6667,SR,AN
197,A,C.a,372,SR,28.57142857,10000,166666.6667,PC,AN
198,A,C.b,192,SR,28.57142857,10000,166666.6667,OD,AN
199,A,C.b,146,SR,28.57142857,10000,166666.6667,VG,AN
200,A,C.b,402,SR,28.57142857,10000,166666.6667,AA,AN
201,A,C.b,224,SR,28.57142857,10000,166666.6667,SR,AN
202,A,C.b,226,SR,28.57142857,10000,166666.6667,PC,AN
203,B,C.c,298,SR,28.57142857,10000,166666.6667,OD,AN
204,B,C.c,408,SR,28.57142857,10000,166666.6667,VG,AN
205,B,C.c,234,SR,28.57142857,10000,166666.6667,AA,AN
206,B,C.c,236,SR,28.57142857,10000,166666.6667,SR,AN
207,B,C.c,300,SR,28.57142857,10000,166666.6667,PC,AN
208,B,C.d,358,SR,28.57142857,10000,166666.6667,OD,AN
209,B,C.d,396,SR,28.57142857,10000,166666.6667,VG,AN
210,B,C.d,498,SR,28.57142857,10000,166666.6667,AA,AN
211,B,C.d,574,SR,28.57142857,10000,166666.6667,SR,AN
212,B,C.d,738,SR,28.57142857,10000,166666.6667,PC,AN
213,C,C.e,488,SR,28.57142857,10000,166666.6667,OD,AN
214,C,C.e,696,SR,28.57142857,10000,166666.6667,VG,AN
215,C,C.e,100,SR,28.57142857,10000,166666.6667,AA,AN
216,C,C.e,328,SR,28.57142857,10000,166666.6667,SR,AN
217,C,C.e,136,SR,28.57142857,10000,166666.6667,PC,AN
218,C,C.f,448,SR,28.57142857,10000,166666.6667,OD,AN
219,C,C.f,182,SR,28.57142857,10000,166666.6667,VG,AN
220,C,C.f,324,SR,28.57142857,10000,166666.6667,AA,AN
221,C,C.f,328,SR,28.57142857,10000,166666.6667,SR,AN
222,C,C.f,242,SR,28.57142857,10000,166666.6667,PC,AN
223,D,C.g,202,SR,28.57142857,10000,166666.6667,OD,AN
224,D,C.g,300,SR,28.57142857,10000,166666.6667,VG,AN
225,D,C.g,288,SR,28.57142857,10000,166666.6667,AA,AN
226,D,C.g,68,SR,28.57142857,10000,166666.6667,SR,AN
227,D,C.g,26,SR,28.57142857,10000,166666.6667,PC,AN
228,D,C.h,320,SR,28.57142857,10000,166666.6667,OD,AN
229,D,C.h,284,SR,28.57142857,10000,166666.6667,VG,AN
230,D,C.h,324,SR,28.57142857,10000,166666.6667,AA,AN
231,D,C.h,320,SR,28.57142857,10000,166666.6667,SR,AN
232,D,C.h,340,SR,28.57142857,10000,166666.6667,PC,AN
233,E,C.i,594,SR,28.57142857,10000,166666.6667,OD,AN
234,E,C.i,640,SR,28.57142857,10000,166666.6667,VG,AN
235,E,C.i,742,SR,28.57142857,10000,166666.6667,AA,AN
236,E,C.i,502,SR,28.57142857,10000,166666.6667,SR,AN
237,E,C.i,640,SR,28.57142857,10000,166666.6667,PC,AN
238,E,C.j,434,SR,28.57142857,10000,166666.6667,OD,AN
239,E,C.j,448,SR,28.57142857,10000,166666.6667,VG,AN
240,E,C.j,406,SR,28.57142857,10000,166666.6667,AA,AN
241,E,C.j,704,SR,28.57142857,10000,166666.6667,SR,AN
242,E,C.j,268,SR,28.57142857,10000,166666.6667,PC,AN
243,F,C.k,338,SR,28.57142857,10000,166666.6667,OD,AN
244,F,C.k,418,SR,28.57142857,10000,166666.6667,VG,AN
245,F,C.k,278,SR,28.57142857,10000,166666.6667,AA,AN
246,F,C.k,316,SR,28.57142857,10000,166666.6667,SR,AN
247,F,C.k,428,SR,28.57142857,10000,166666.6667,PC,AN
248,F,C.l,476,SR,28.57142857,10000,166666.6667,OD,AN
249,F,C.l,374,SR,28.57142857,10000,166666.6667,VG,AN
250,F,C.l,342,SR,28.57142857,10000,166666.6667,AA,AN
251,F,C.l,604,SR,28.57142857,10000,166666.6667,SR,AN
252,F,C.l,364,SR,28.57142857,10000,166666.6667,PC,AN
133,A,C.a,320,AA,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,192,AA,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,186,AA,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,192,AA,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,114,AA,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,70,AA,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,190,AA,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,122,AA,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,16,AA,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,84,AA,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,50,AA,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,68,AA,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,98,AA,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,140,AA,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,128,AA,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,124,AA,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,116,AA,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,116,AA,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,82,AA,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,164,AA,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,62,AA,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,40,AA,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,26,AA,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,34,AA,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,78,AA,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,26,AA,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,32,AA,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,70,AA,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,80,AA,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,28,AA,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,112,AA,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,110,AA,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,AA,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,122,AA,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,118,AA,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,94,AA,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,AA,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,64,AA,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,64,AA,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,72,AA,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,86,AA,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,162,AA,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,80,AA,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,134,AA,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,86,AA,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,118,AA,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,104,AA,28.57142857,10000,166666.6667,VG,LA
180,E,C.j,118,AA,28.57142857,10000,166666.6667,AA,LA
181,E,C.j,12,AA,28.57142857,10000,166666.6667,SR,LA
182,E,C.j,38,AA,28.57142857,10000,166666.6667,PC,LA
183,F,C.k,28,AA,28.57142857,10000,166666.6667,OD,LA
184,F,C.k,36,AA,28.57142857,10000,166666.6667,VG,LA
185,F,C.k,18,AA,28.57142857,10000,166666.6667,AA,LA
186,F,C.k,42,AA,28.57142857,10000,166666.6667,SR,LA
187,F,C.k,72,AA,28.57142857,10000,166666.6667,PC,LA
188,F,C.l,106,AA,28.57142857,10000,166666.6667,OD,LA
189,F,C.l,84,AA,28.57142857,10000,166666.6667,VG,LA
190,F,C.l,88,AA,28.57142857,10000,166666.6667,AA,LA
191,F,C.l,110,AA,28.57142857,10000,166666.6667,SR,LA
192,F,C.l,110,AA,28.57142857,10000,166666.6667,PC,LA
